Date,Close,Open,High,Low
Sep-09-2014,15749.15,15795.82,15795.82,15736.13
Sep-10-2014,15788.78,15688.55,15795.60,15664.79
Sep-11-2014,15909.20,15880.91,15925.51,15854.30
Sep-12-2014,15948.29,15885.04,15984.90,15885.04
Sep-16-2014,15911.53,15896.06,15938.31,15871.12
Sep-17-2014,15888.67,15948.15,15969.41,15888.67
Sep-18-2014,16067.57,16036.47,16106.11,16003.46
Sep-19-2014,16321.17,16177.94,16364.08,16170.86
Sep-22-2014,16205.90,16281.36,16299.13,16170.11
Sep-24-2014,16167.45,16105.56,16203.94,16094.59
Sep-25-2014,16374.14,16327.19,16374.14,16303.91
Sep-26-2014,16229.86,16087.95,16251.67,16087.95
Sep-29-2014,16310.64,16339.03,16344.32,16262.00
Sep-30-2014,16173.52,16252.72,16252.72,16058.72
Oct-01-2014,16082.25,16173.39,16225.96,16081.01
Oct-02-2014,15661.99,15895.20,15922.51,15646.40
Oct-03-2014,15708.65,15616.48,15708.65,15559.07
Oct-06-2014,15890.95,15882.28,15970.65,15808.22
Oct-07-2014,15783.83,15841.17,15913.52,15755.57
Oct-08-2014,15595.98,15574.60,15643.63,15520.81
Oct-09-2014,15478.93,15681.53,15732.32,15461.09
Oct-10-2014,15300.55,15292.88,15345.78,15221.83
Oct-14-2014,14936.51,15036.87,15089.90,14919.71
Oct-15-2014,15073.52,15009.75,15084.61,14916.65
Oct-16-2014,14738.38,14805.16,14807.08,14672.55
Oct-17-2014,14532.51,14796.32,14830.67,14529.03
Oct-20-2014,15111.23,14822.84,15111.23,14819.69
Oct-21-2014,14804.28,15115.29,15115.29,14761.84
Oct-22-2014,15195.77,15038.19,15195.78,15001.43
Oct-23-2014,15138.96,15093.78,15232.51,15059.64
Oct-24-2014,15291.64,15354.35,15377.05,15232.00
Oct-27-2014,15388.72,15404.28,15424.05,15333.71
Oct-28-2014,15329.91,15363.28,15374.46,15263.36
Oct-29-2014,15553.91,15442.39,15595.29,15394.79
Oct-30-2014,15658.20,15596.50,15701.04,15584.83
Oct-31-2014,16413.76,15817.14,16533.91,15817.14
Nov-04-2014,16862.47,16732.85,17127.66,16720.99
Nov-05-2014,16937.32,16785.44,16995.02,16778.28
Nov-06-2014,16792.48,16993.46,17045.94,16725.45
Nov-07-2014,16880.38,16934.04,16938.20,16824.08
Nov-10-2014,16780.53,16758.27,16818.05,16713.37
Nov-11-2014,17124.11,16869.49,17160.12,16855.30
Nov-12-2014,17197.05,17253.12,17443.74,17170.00
Nov-13-2014,17392.79,17192.00,17400.77,17099.95
Nov-14-2014,17490.83,17520.54,17520.54,17300.19
Nov-17-2014,16973.80,17381.38,17409.32,16907.43
Nov-18-2014,17344.06,17188.84,17356.76,17186.50
Nov-19-2014,17288.75,17384.31,17472.57,17280.76
Nov-20-2014,17300.86,17407.69,17407.69,17270.70
Nov-21-2014,17357.51,17285.72,17381.59,17108.20
Nov-25-2014,17407.62,17490.39,17490.39,17372.71
Nov-26-2014,17383.58,17347.97,17432.57,17335.99
Nov-27-2014,17248.50,17310.49,17346.85,17212.48
Nov-28-2014,17459.85,17340.16,17471.90,17330.84
Dec-01-2014,17590.10,17475.10,17649.02,17474.27
Dec-02-2014,17663.22,17481.06,17687.70,17476.42
Dec-03-2014,17720.43,17772.15,17881.76,17696.36
Dec-04-2014,17887.21,17881.91,17912.59,17813.01
Dec-05-2014,17920.45,17821.85,17922.29,17759.36
Dec-08-2014,17935.64,18004.66,18030.83,17869.74
Dec-09-2014,17813.38,17820.24,17892.16,17773.30
Dec-10-2014,17412.58,17623.35,17658.14,17308.82
Dec-11-2014,17257.40,17180.49,17289.73,17043.63
Dec-12-2014,17371.58,17317.69,17526.19,17298.19
Dec-15-2014,17099.40,17111.49,17258.32,17037.21
Dec-16-2014,16755.32,16862.42,16895.39,16714.83
Dec-17-2014,16819.73,16689.34,16891.02,16672.94
Dec-18-2014,17210.05,17142.95,17274.23,17136.41
Dec-19-2014,17621.40,17511.01,17621.40,17471.60
Dec-22-2014,17635.14,17685.53,17692.58,17572.62
Dec-24-2014,17854.23,17842.04,17875.41,17800.42
Dec-25-2014,17808.75,17804.84,17832.47,17773.59
Dec-26-2014,17818.96,17778.91,17843.73,17769.01
Dec-29-2014,17729.84,17914.55,17914.55,17525.66
Dec-30-2014,17450.77,17702.12,17713.76,17450.77
Jan-05-2015,17408.71,17325.68,17540.92,17219.22
Jan-06-2015,16883.19,17101.58,17111.36,16881.73
Jan-07-2015,16885.33,16808.26,16974.61,16808.26
Jan-08-2015,17167.10,17067.40,17243.71,17016.09
Jan-09-2015,17197.73,17318.74,17342.65,17129.53
Jan-13-2015,17087.71,16970.88,17087.71,16828.27
Jan-14-2015,16795.96,16961.82,17036.72,16770.56
Jan-15-2015,17108.70,16872.95,17141.98,16856.22
Jan-16-2015,16864.16,16812.96,16864.34,16592.57
Jan-19-2015,17014.29,17000.78,17039.80,16911.58
Jan-20-2015,17366.30,17071.65,17366.30,17066.77
Jan-21-2015,17280.48,17308.72,17329.03,17181.55
Jan-22-2015,17329.02,17306.64,17355.74,17229.21
Jan-23-2015,17511.75,17520.63,17532.06,17460.76
Jan-26-2015,17468.52,17285.71,17471.94,17285.71
Jan-27-2015,17768.30,17649.40,17768.41,17633.47
Jan-28-2015,17795.73,17615.93,17850.59,17615.93
Jan-29-2015,17606.22,17666.91,17778.83,17575.10
Jan-30-2015,17674.39,17788.74,17808.47,17661.10
Feb-02-2015,17558.04,17536.61,17628.40,17459.45
Feb-03-2015,17335.85,17654.60,17654.60,17271.87
Feb-04-2015,17678.74,17549.30,17743.11,17535.04
Feb-05-2015,17504.62,17589.21,17619.34,17484.67
Feb-06-2015,17648.50,17696.18,17700.67,17603.07
Feb-09-2015,17711.93,17790.31,17799.49,17653.61
Feb-10-2015,17652.68,17662.67,17673.27,17550.03
Feb-12-2015,17979.72,17899.40,18005.45,17884.34
Feb-13-2015,17913.36,17892.10,17962.11,17864.55
Feb-16-2015,18004.77,18024.01,18074.26,17978.90
Feb-17-2015,17987.09,17949.70,18009.45,17901.26
Feb-18-2015,18199.17,18103.98,18202.61,18092.32
Feb-19-2015,18264.79,18237.35,18322.50,18237.35
Feb-20-2015,18332.30,18336.50,18360.92,18297.67
Feb-23-2015,18466.92,18499.58,18509.08,18402.02
Feb-24-2015,18603.48,18468.39,18603.48,18427.98
Feb-25-2015,18585.20,18636.34,18648.77,18552.81
Feb-26-2015,18785.79,18587.87,18790.83,18587.13
Feb-27-2015,18797.94,18844.28,18865.39,18714.64
Mar-02-2015,18826.88,18869.40,18939.17,18775.23
Mar-03-2015,18815.16,18910.52,18910.52,18730.57
Mar-04-2015,18703.60,18716.78,18732.66,18586.84
Mar-05-2015,18751.84,18658.16,18767.50,18655.36
Mar-06-2015,18971.00,18814.85,18979.64,18808.30
Mar-09-2015,18790.55,18872.96,18878.15,18733.87
Mar-10-2015,18665.11,18891.01,18924.38,18577.06
Mar-11-2015,18723.52,18604.87,18836.93,18583.52
Mar-12-2015,18991.11,18787.10,19008.13,18774.42
Mar-13-2015,19254.25,19119.58,19335.80,19042.25
